590,117,1979,310;479,637,1561,504;559,678,4047,686;534,467,1653,861;623,777,2694,252;513,668,2185,41;537,497,3817,406;623,777,3951,411;574,694,417,23;587,723,2984,268;572,679,2428,1174;563,678,1706,512;599,743,3031,607;555,286,1727,514;546,323,2816,262;565,678,1749,872;534,414,2462,43;
252,477,1528,268;429,94,696,441;488,232,550,819;432,92,2667,1192;429,94,2556,570;433,91,3605,395;390,374,1919,524;501,223,239,58;494,226,2242,924;486,235,345,715;478,245,3714,124;497,224,648,192;498,224,761,65;432,292,1090,4;509,390,904,772;509,390,1956,527;509,390,3747,1274;
491,1251,1938,889;488,1237,1191,804;338,1150,1863,521;490,1248,3519,1258;487,1231,2866,1208;317,1152,2084,315;208,1385,1027,76;245,1300,1372,483;370,1152,3123,1227;490,1248,137,48;481,1216,3881,1107;408,1175,2841,351;408,1175,2452,237;449,1178,2026,220;514,337,1581,504;513,336,2687,100;514,337,1609,856;
405,354,2266,926;406,362,3019,1013;468,351,2254,1386;468,351,4022,1449;454,319,3633,1079;427,315,295,146;468,350,2215,551;469,352,441,171;453,383,1534,200;454,382,209,90;469,367,293,154;470,365,2663,1192;458,380,59,60;498,225,2846,351;498,225,646,1321;498,225,818,443;498,224,2271,554;
428,97,1042,1;405,354,2266,926;427,315,1287,1349;390,374,1919,524;427,315,4092,1452;427,315,2234,1158;474,272,623,426;474,275,1017,459;478,245,3714,124;427,315,295,146;454,319,3769,1277;475,288,3417,639;462,313,3441,284;507,409,1745,1097;507,409,3343,631;507,409,1444,257;507,409,469,175;
571,764,3170,1028;564,775,3403,282;570,759,3131,1022;568,756,4064,688;570,760,3226,623;563,754,1611,206;549,762,2201,42;571,764,3961,411;556,755,3826,1282;556,755,1047,785;561,750,901,449;556,755,2457,949;556,755,2593,574;502,227,309,147;501,224,2447,330;501,225,2907,1211;500,226,260,95;
471,326,1286,979;471,329,1064,1339;474,323,1597,1048;471,326,543,421;474,323,2951,1216;477,330,1057,1339;477,330,436,784;479,330,579,424;473,332,659,62;478,324,1943,1373;479,326,1062,789;479,325,660,746;478,324,3201,112;583,773,3220,1034;583,773,4063,1451;583,773,3083,612;583,773,4039,130;
458,1053,1834,1120;463,1004,2304,931;424,1089,1478,498;378,1095,2354,1167;327,857,3670,18;449,919,3858,554;418,869,1244,80;447,915,1225,1347;450,919,3203,371;405,1095,2350,96;372,1094,1455,495;363,1099,1501,264;449,918,527,812;497,226,924,205;497,226,1275,977;497,226,92,66;497,226,1916,1134;
590,747,1823,297;589,759,1594,854;582,762,1081,221;580,754,2113,910;579,751,3099,614;580,748,1445,494;582,746,2298,322;579,749,3835,1102;586,762,4012,413;579,757,1681,865;580,759,2911,1000;586,746,3100,1018;586,746,3148,1026;511,414,333,714;510,414,1981,311;510,414,2481,239;510,414,14,25;
327,857,3670,18;474,664,821,175;476,839,1564,848;499,698,2238,320;496,799,222,700;462,845,3496,391;435,856,2339,323;435,855,269,706;507,719,3326,48;436,855,3715,1271;499,795,2438,1174;506,780,2203,550;515,751,3329,49;552,702,2156,914;552,702,1054,787;552,702,1259,813;552,702,3722,401;
483,248,72,700;483,249,2668,341;484,246,855,445;484,245,2762,589;492,252,556,166;492,253,1157,462;492,253,98,68;492,253,1234,470;492,252,1965,1138;492,252,2300,930;492,253,237,150;492,253,1215,807;469,321,1607,855;469,321,1663,863;469,321,935,453;469,321,598,829;469,321,578,824;
483,323,2858,263;483,325,2579,1186;480,324,183,731;481,323,2708,1195;481,325,1383,831;480,324,238,93;480,324,662,429;480,324,2180,548;480,325,549,422;480,324,844,766;480,324,2983,1218;480,324,713,435;510,414,694,433;510,414,458,173;510,414,2346,936;510,414,1152,1342;510,414,2260,1386;
484,385,3701,1271;484,377,2673,1193;476,386,2776,1201;484,386,2454,1176;480,387,638,428;478,371,3049,608;483,374,2721,344;487,382,570,737;484,386,1676,864;486,380,3650,655;470,384,3488,288;470,373,372,153;497,226,2682,1193;497,225,7,13;497,226,924,205;497,225,949,179;497,225,3993,1296;
479,391,3661,1082;484,396,513,729;477,387,3662,398;465,386,2713,1402;456,390,1966,90;469,385,3105,273;485,398,457,24;462,388,2091,1148;462,388,91,705;465,386,1272,816;462,387,3512,1066;464,386,3459,1062;497,225,6,12;497,225,949,179;497,225,3993,1296;497,225,1628,859;497,225,1962,1137;
483,394,610,742;484,385,3701,1271;489,387,1996,530;479,390,3357,633;479,391,3606,1076;488,394,1419,34;489,387,1911,1133;488,386,2273,554;480,387,638,428;484,386,1188,1345;484,386,1676,864;484,386,1625,1060;469,321,2715,1195;469,321,994,781;469,321,175,138;469,321,3511,1256;469,321,2819,594;
496,356,2847,993;489,352,1331,823;485,353,1887,302;487,364,3621,653;487,364,987,451;497,359,2748,345;487,364,2657,969;491,363,1509,1355;491,365,1712,287;491,363,485,1316;492,364,1800,212;492,363,590,739;470,321,1357,482;470,321,1009,926;470,321,156,78;470,321,81,56;470,321,2970,604;
506,399,2400,942;509,392,3936,129;518,395,1973,1374;517,393,115,133;511,404,3211,1235;511,402,1849,1124;518,395,1915,524;519,405,552,165;513,407,1735,291;507,401,184,146;519,400,822,882;520,400,304,710;469,321,1013,783;469,321,2890,997;469,321,2258,1159;469,321,599,188;469,321,343,162;
486,235,345,715;485,235,2411,1172;478,245,3714,124;479,245,1129,227;485,237,2235,552;479,245,926,452;482,242,261,144;483,240,2186,317;483,240,126,141;481,244,1092,77;479,245,463,795;479,245,1116,795;469,321,1985,311;469,321,5,22;469,321,629,839;469,321,2633,580;469,321,820,1328;
327,1120,3110,1020;250,813,2262,1387;235,824,1323,822;250,812,3280,627;474,664,821,175;489,797,3632,9;418,869,1244,80;426,987,2043,7;339,1112,2981,267;435,856,2339,323;435,856,3822,407;363,1099,1501,264;469,320,385,114;470,321,2806,101;469,320,1108,459;469,320,582,425;469,320,52,698;
520,724,3684,1438;521,730,2551,1397;521,720,2495,333;521,730,335,761;522,732,3525,1066;542,714,1602,204;533,733,3999,303;543,727,316,159;534,732,1198,805;535,732,2768,984;534,732,2210,1157;537,732,1759,515;499,226,1030,928;500,226,3067,44;499,226,3962,1293;499,226,656,745;499,226,348,109;
499,330,330,105;503,334,839,444;495,332,872,447;503,331,69,37;503,333,856,178;503,333,2752,982;503,333,536,815;503,333,1636,1062;496,338,3682,399;503,332,134,73;503,332,1147,1342;499,225,3553,1069;499,225,3739,1093;499,225,2724,1196;499,225,206,696;499,225,1675,1361;499,225,1950,891;
