0,0,469,265:434,85,37,131;434,87,123,714;434,86,226,737;435,86,272,750;435,86,286,708;434,86,336,161;435,86,337,762;486,235,345,715;434,86,358,764;488,232,550,819;474,272,623,426;434,86,639,428;497,224,648,192;429,94,696,441;434,86,950,914;435,85,952,778;434,86,953,1333;428,97,1042,1;434,86,1076,791;432,292,1090,4;434,86,1121,796;434,86,1158,801;434,86,1159,957;434,86,1160,465;434,86,1161,1343;434,86,1170,960;434,86,1253,33;435,86,1588,853;437,80,1701,1361;390,374,1919,524;434,86,2061,905;434,86,2094,540;485,237,2235,552;494,226,2242,924;435,85,2249,1386;434,86,2265,1387;405,354,2266,926;434,86,2376,233;434,86,2408,1172;485,235,2411,1172;434,86,2565,1397;432,92,2667,1192;434,86,2720,1403;435,85,2723,1196;434,86,2971,1008;477,268,3509,392;479,245,3546,17;433,91,3605,395;478,245,3714,124;435,87,4018,683;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
0,266,469,321:466,317,24,26;457,319,179,83;427,315,295,146;467,321,580,167;460,322,584,825;459,322,618,438;474,272,623,426;478,295,644,841;467,318,780,440;467,319,848,1329;427,315,870,447;466,318,919,906;469,320,1016,217;474,275,1017,459;468,320,1063,0;432,292,1090,4;476,303,1100,947;466,318,1197,805;467,318,1269,816;427,315,1287,1349;469,316,1294,82;467,319,1443,836;467,317,1492,499;475,287,1563,1357;466,318,1580,1358;467,318,1724,1089;466,318,1820,1116;390,374,1919,524;468,320,1976,1375;427,315,2234,1158;466,318,2252,1158;405,354,2266,926;468,320,2267,927;468,320,2461,1177;467,319,2581,573;466,318,2701,976;466,318,2712,1402;467,319,2824,1205;468,320,2949,1216;476,304,3107,1019;466,317,3120,617;475,288,3417,639;462,313,3441,284;477,268,3509,392;466,318,3516,1257;469,320,3595,290;454,319,3633,1079;466,318,3713,660;454,319,3769,1277;464,320,3802,128;427,315,4092,1452;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
470,0,470,321:470,320,4,54;469,320,23,18;469,320,39,29;469,320,52,698;470,321,63,0;469,321,125,420;483,240,126,141;469,321,176,145;469,321,188,693;469,321,202,147;469,321,208,697;469,320,326,714;486,235,345,715;469,320,385,114;488,232,550,819;469,320,582,425;474,272,623,426;478,295,644,841;497,224,648,192;467,318,780,440;469,321,842,0;469,320,1007,925;469,320,1016,217;474,275,1017,459;428,97,1042,1;468,320,1063,0;476,303,1100,947;469,320,1108,459;469,321,1154,1343;469,316,1294,82;475,287,1563,1357;469,321,1738,1094;469,320,1925,1135;469,320,1932,1372;469,320,1940,218;468,320,1976,1375;485,237,2235,552;494,226,2242,924;468,320,2267,927;485,235,2411,1172;468,320,2461,1177;469,320,2592,1398;470,321,2806,101;469,321,2819,594;467,319,2824,1205;476,304,3107,1019;469,321,3363,1246;475,288,3417,639;462,313,3441,284;477,268,3509,392;479,245,3546,17;469,320,3595,290;433,91,3605,395;478,245,3714,124;469,320,4007,0;435,87,4018,683;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
470,322,470,321:469,321,9,14;469,321,12,0;469,320,39,29;469,320,52,698;470,321,63,0;469,321,118,140;469,321,125,420;469,321,175,138;469,321,176,145;469,321,202,147;469,321,208,697;469,321,241,22;470,321,456,793;469,320,582,425;469,321,596,187;469,321,614,1320;469,321,616,835;469,321,620,742;470,321,626,838;469,321,632,427;469,321,710,751;469,321,727,754;469,321,764,0;470,321,774,758;469,321,811,879;469,321,842,0;469,321,846,767;470,321,956,915;469,321,994,781;469,320,1007,925;469,321,1012,458;469,321,1015,216;469,320,1016,217;469,321,1069,789;469,321,1073,940;469,321,1101,462;469,321,1119,951;469,321,1120,226;469,321,1154,1343;469,321,1155,800;469,321,1398,486;469,321,1521,1355;469,321,1738,1094;469,321,1912,1133;469,321,1972,892;469,321,1998,897;469,321,2257,925;469,321,2472,0;469,321,2693,974;469,321,2715,1195;470,321,2806,101;469,321,2819,594;469,321,2876,353;469,321,3363,1246;469,321,3511,1256;469,321,3781,1278;469,321,3811,1281;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
0,322,469,321:469,321,2,10;469,321,15,54;469,321,38,693;457,319,179,83;469,321,208,697;427,315,295,146;469,321,480,799;469,321,578,824;467,321,580,167;469,321,583,0;460,322,584,825;469,321,591,739;469,321,598,829;469,321,601,831;459,322,618,438;469,321,631,0;469,321,632,427;469,321,710,751;469,321,727,754;469,321,808,762;469,321,814,0;469,321,846,767;469,321,909,1332;469,321,934,776;469,321,935,453;469,321,1012,458;469,320,1016,217;469,321,1072,1340;469,321,1119,951;469,321,1120,226;469,321,1153,0;469,321,1155,800;427,315,1287,1349;469,321,1305,0;469,321,1448,0;469,321,1521,1355;469,321,1661,1071;469,321,1663,863;390,374,1919,524;469,321,2184,1154;469,321,2257,925;405,354,2266,926;469,321,2707,0;469,321,2814,0;469,321,2830,0;468,320,2949,1216;469,321,3240,1238;469,321,3248,1040;454,319,3633,1079;469,321,3756,0;454,319,3769,1277;469,321,3781,1278;464,320,3802,128;469,321,3811,1281;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
0,322,469,322:469,321,15,54;469,321,38,693;457,319,179,83;469,321,208,697;459,323,223,148;427,315,295,146;469,321,432,122;469,321,448,788;469,321,497,0;469,322,534,179;469,321,545,422;469,321,578,824;467,321,580,167;469,321,581,1319;469,321,583,0;460,322,584,825;469,321,591,739;469,321,599,188;469,321,617,0;459,322,618,438;469,321,629,839;469,321,676,749;469,321,710,751;469,321,727,754;469,321,809,878;469,321,815,881;469,321,843,445;469,321,846,767;469,321,929,909;469,321,934,776;469,321,1012,458;469,320,1016,217;469,321,1127,1341;469,321,1212,968;427,315,1287,1349;469,321,1442,1011;469,321,1607,855;469,321,1613,0;469,321,1663,863;469,321,1814,880;469,321,1851,0;390,374,1919,524;469,321,1954,0;469,321,1987,894;469,321,2124,543;469,321,2150,0;469,321,2257,925;405,354,2266,926;469,321,2432,0;469,321,2633,580;469,321,2677,972;469,322,2697,514;468,320,2949,1216;469,321,3294,376;454,319,3633,1079;454,319,3769,1277;464,320,3802,128;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
470,322,470,321:469,321,12,0;469,321,26,27;469,321,44,695;469,321,55,31;469,321,65,0;469,321,70,0;469,321,71,0;469,321,94,1304;469,321,103,707;469,321,107,1305;469,321,111,711;469,321,127,0;469,321,365,766;470,321,456,793;469,321,480,799;469,321,508,419;470,321,558,735;470,321,593,827;469,321,595,186;469,321,596,187;469,321,607,741;469,321,620,742;470,321,626,838;469,321,631,0;469,321,632,427;469,321,707,0;469,321,708,434;469,321,764,0;470,321,774,758;469,321,781,759;469,321,806,761;469,321,808,762;469,321,812,880;469,321,857,0;469,321,863,1330;469,321,909,1332;469,321,1015,216;469,321,1073,940;469,321,1101,462;469,321,1133,953;469,321,1153,0;469,321,1305,0;469,321,1398,486;469,321,1448,0;469,321,1621,1359;470,321,1698,1084;469,321,1912,1133;469,321,2440,1175;469,321,2472,0;469,321,2814,0;469,321,2830,0;469,321,3109,1417;469,321,3240,1238;469,321,3248,1040;469,321,3591,1435;469,321,3756,0;469,321,4015,1298;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
470,322,470,322:469,321,5,22;469,321,12,0;469,321,17,16;469,321,21,17;469,321,26,27;469,321,44,695;470,321,62,61;469,321,127,0;469,321,133,1306;469,321,343,162;469,321,365,766;469,321,508,419;470,321,558,735;470,321,593,827;469,321,599,188;469,321,604,189;469,321,608,833;469,321,629,839;469,321,708,434;469,321,773,758;469,321,806,761;469,321,809,878;469,321,810,1328;469,321,820,1328;469,321,843,445;469,321,845,767;469,321,847,1329;469,321,857,0;470,321,886,898;469,321,934,776;469,321,1013,783;469,321,1071,0;469,321,1073,940;469,321,1101,462;469,321,1109,224;469,321,1123,797;469,321,1127,1341;469,321,1133,953;470,321,1209,233;470,321,1334,479;469,321,1442,1011;470,321,1519,842;469,321,1687,511;469,321,1722,1362;469,321,1985,311;469,321,1987,894;469,321,1991,895;470,321,2019,1376;470,321,2095,908;469,321,2165,1153;469,321,2258,1159;469,321,2293,929;469,321,2440,1175;469,321,2633,580;469,321,2677,972;469,321,2705,585;470,321,2794,986;470,321,2859,995;469,321,2890,997;469,321,2998,1220;469,321,3055,1223;469,321,3109,1417;469,321,3705,1090;469,321,4015,1298;
471,0,484,242:483,240,126,141;501,223,239,58;482,242,261,144;483,240,327,160;486,235,345,715;483,241,383,720;483,242,439,169;485,239,489,162;488,232,550,819;497,224,648,192;484,240,655,193;483,242,719,860;483,241,725,753;498,224,761,65;484,240,803,0;483,241,819,1328;428,97,1042,1;481,244,1092,77;479,245,1129,227;484,240,1156,800;483,242,1354,827;485,238,1389,250;483,242,1400,487;483,241,1433,1007;485,237,1565,849;483,242,1568,850;483,242,1697,1083;482,242,1767,874;483,242,1804,1111;484,240,1878,885;484,240,2018,313;483,240,2032,486;484,241,2041,534;483,240,2186,317;485,237,2235,552;494,226,2242,924;485,235,2411,1172;483,241,2507,1395;484,240,2761,345;484,240,2792,1405;484,242,2988,1010;483,242,2990,359;483,241,3267,626;483,241,3422,1057;479,245,3546,17;484,241,3594,119;433,91,3605,395;483,240,3608,1264;478,245,3714,124;484,240,3737,1093;483,242,3864,669;435,87,4018,683;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
471,243,484,245:482,245,48,133;480,244,165,691;482,242,261,144;483,242,305,711;480,244,401,773;483,242,439,169;483,243,471,796;483,243,472,128;483,243,670,171;483,242,719,860;482,243,739,198;483,242,767,757;479,245,926,452;483,242,942,912;483,242,1039,933;481,244,1092,77;479,245,1129,227;483,242,1137,798;483,242,1245,471;483,242,1288,239;480,244,1307,1350;483,244,1332,988;483,242,1354,827;483,244,1356,481;481,245,1515,1034;483,242,1568,850;482,245,1612,274;483,242,1697,1083;483,242,1707,1086;483,242,1737,1093;482,242,1767,874;480,245,1872,1128;483,242,2002,898;480,245,2005,1376;483,242,2035,903;484,245,2317,1163;483,242,2476,1178;483,242,2489,1394;483,242,2559,962;480,245,2561,962;483,242,2603,576;482,242,2648,968;483,243,2743,980;483,243,2831,594;483,242,2990,359;479,245,3234,1237;483,243,3419,1249;479,245,3546,17;482,243,3560,1434;484,245,3627,1266;478,245,3714,124;483,242,3879,556;482,243,3976,564;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;499,225,0,20;
