658545,206586,395,372;638372,199991,572,293;647838,270252,426,212;621934,280746,510,388;614179,278589,385,82;596212,288225,41,44;591322,289294,902,289;578543,242253,475,270;603511,214163,263,186;589077,224764,304,359;616170,207548,50,148;597438,224430,368,18;
528132,548651,620,306;577284,569387,603,301;571053,572661,943,454;601066,558453,738,421;609865,542367,934,501;591103,504235,305,223;589788,498036,214,344;527843,537689,736,476;524467,522779,103,164;550770,474884,832,437;529023,475531,920,292;867541,518988,0,315;
9763,324665,19,138;14968,384118,1022,314;6106,795626,135,6;7524,1027601,216,344;9026,310421,133,56;14420,300589,53,45;5556,528329,977,39;441,18866,82,328;22846,295798,9,139;9012,251834,1012,519;2086,201574,841,35;867541,518988,0,315;
349575,203218,26,141;346350,231568,491,23;237173,189236,473,93;237429,175163,465,268;324538,176020,162,185;311035,153945,875,443;271029,234255,409,85;252526,222215,345,365;259741,133761,419,17;286931,239328,965,456;867541,518988,0,315;867541,518988,0,315;
293620,867522,230,180;295888,771463,363,237;247846,770753,529,227;237107,782197,582,297;327418,795737,895,496;319568,780958,199,198;352420,849151,553,393;234626,813941,253,61;271782,847069,586,109;243139,833167,789,430;867541,518988,0,315;867541,518988,0,315;
734227,1002123,194,57;730227,941354,671,23;731501,942261,712,472;727745,919426,448,20;664211,975674,339,75;681004,983732,921,499;628610,880502,484,21;633162,952129,219,345;703446,1009381,62,323;655031,973527,996,462;867541,518988,0,315;867541,518988,0,315;
44905,822282,21,318;32629,840377,845,513;6932,794398,479,382;1614,300148,689,2;5556,528329,977,39;7524,1027601,216,344;31399,858530,400,246;23699,898422,783,264;8062,997276,354,365;21660,651366,846,279;867541,518988,0,315;867541,518988,0,315;
995057,589000,625,243;952602,547967,100,48;961834,553476,396,372;942752,539701,480,383;949743,624646,967,506;864273,614150,882,444;878739,633051,424,255;897674,560003,886,121;893679,639180,336,364;938534,638104,989,131;867541,518988,0,315;867541,518988,0,315;
44905,822282,21,318;54672,798545,5,135;40037,868398,56,149;49430,846042,361,236;89557,790893,116,170;64840,900643,17,317;47230,889426,528,282;145338,882039,136,333;126955,821789,980,306;138363,895491,697,251;867541,518988,0,315;867541,518988,0,315;
775628,366875,112,51;760797,337965,597,111;772636,357011,893,288;749725,425043,301,357;812906,401565,244,183;765486,416801,748,477;720859,417425,781,483;735064,336768,836,278;708218,358013,189,339;708649,398714,444,380;867541,518988,0,315;867541,518988,0,315;
593852,372912,79,327;606002,381271,601,399;565821,383652,604,302;620440,412925,692,123;535843,418064,61,152;547968,392630,225,208;622529,419088,833,276;606725,458774,455,90;604381,462302,332,362;550770,474884,832,437;867541,518988,0,315;867541,518988,0,315;
399875,900114,265,65;430957,846933,567,235;484308,887527,432,256;419960,937489,403,210;503407,895534,34,145;506893,919362,365,239;439906,979127,566,292;499798,965644,119,172;504550,958854,811,270;462705,986525,109,166;867541,518988,0,315;867541,518988,0,315;
749229,10955,961,517;747898,32974,282,354;851429,21504,812,434;830036,41016,986,307;612712,19874,969,128;1011620,17911,113,167;184006,272,636,27;499362,6410,631,103;964393,24375,858,283;426492,2664,613,100;867541,518988,0,315;867541,518988,0,315;
